Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
38134,B000EPYWO6,A1YUL9PCJR3JTY,"O. Brown ""Ms. O. Khannah-Brown""",2,2,5,1181692800,Original Idea---Kombucha from a Tea!,"*****<br />This Organic Green Tea Kombucha from Yogi Tea is certainly unique. It tastes like a mixture of passion fruit, plum, ginger, and green tea. It is mild, and not bitter at all, even when you leave the tea bag in the whole time you drink the tea, as I do. Best of all, it is an easy, convenient way of benefiting from Kombucha, if you don't grow your own (and I don't anymore, as it is not easy or convenient for me). I have never before obtained my Kombucha from a tea; this is a tasty way to do so.<br /><br />I am definitely impressed with this tea and with Yogi Teas in general. Organic Green Tea Kombucha comes with an expiration date (a good thing, because it's not full of preservatives, plus you can tell if it is fresh). Yogi Tea seems to be another company (like Numi, Aspen, Traditional Medicinals) that values sustainable and healthy practices. Their web site has a helpful glossary of tea ingredients and is beautifully designed, with info about each tea they make.<br /><br />Yogi Tea writes this on the box about the tea's benefits: ""Green Tea Kombucha is based on an ancient remedy and offers a convenient form of Kombucha designed for daily use. Legend has it that some 2,000 years ago, Kombucha originated in Russia, and from there it traveled to Japan. Since then it has been used to detoxify the body, enhance the immune system, fight fatigue and soothe an upset stomach. This special healing formula is made with  Organic Green Tea (Camellia sinensis), which is organically grown and, unlike other green teas, has a delicate flavor with no bitterness. Green Tea has excellent antioxidant properties. To it we have added a concentrated purified extract of Kombucha-Pure(tm), which is produced without the use of refined sugar or black tea, and is made from Kombucha grown in a unique medium of 32 supporting Chinese herbs. The recipe is complemented with Organic Spearmint, which can help to relax the body and aid digestion; Organic Licorice Root, to support the adrenals and enhance the effects of other healing herbs; and Dong Quai Root, a well-known tonic. Once the benefits of these ingredients are released by hot water, you are ready to enjoy a delicious, delightful and soothing cup of tea - and one that is naturally rich in antioxidants and other health-supporting qualities.""<br /><br />Yogi Tea's use of ""Kombucha-Pure"", grown in 32 Chinese herbs and WITHOUT black tea or sugar is very, very appealing, and a new and exciting way of producing Kombucha.<br /><br />Note that Yogi Tea also makes a decaf version of this tea that has exactly the same ingredients except that the organic green tea is decaffeinated---naturally, of course!<br /><br />Highly recommended.<br />*****"
242660,B001EQ5RDO,A16UICWG95JJYE,dng2210,3,3,5,1303516800,Making Basting Oil,This is the only garlic oil I use to make basting oil.  It is equal parts garlic oil and grapeseed oil with dried thyme and parsley.  I can't find this oil anywhere in stores so buy in bulk from Amazon.
42737,B0019VJWUI,A33QQ1S92XNB7V,D. Weitzler,2,2,5,1250380800,Relaxation in a Cup,"We love this tea in the evening. No caffine,just a mind soothing flavor.  We can drink several cups guilt free, and it has such a delightful aroma and taste, no sweetener in needed. Thanks,"
402183,B002VLY9HQ,A1HUG067WS3P9X,Barbara,2,2,5,1304640000,Good  Stuff,"Excellent and unusual hot sauce, with a bright zing from the citrus.  It arrived within a day or two of ordering it and I have almost used it all up already."
336841,B001KULK12,A3SXUY1CQU70OJ,"Antr ""6""",5,5,3,1297641600,no good for sprouting,"his seeds do not sprout ( i put them to sprout and get less than 10% of the seeds sprout, probably as low as 3% of them sprouted)they will rout!. but they are good to eat as a seed, they taste fresh; but, if you are looking for sprouting seeds look elsewhere!"
312187,B001269ETE,A2QYFW82MD0SY6,DMH,0,0,5,1338854400,What bacon is supposed to be,"I figured there must be bacon out there like bacon used to be - this is it.  If you are of a 'certain age' (over 40 or 50?) you remember the deep smoky flavor of a good bacon; this cannot be found in ""store bacon"" anymore.  Modern bacon is thin, lightly/poorly smoked - even the so-called 'gourmet' bacon.  This is the old fashioned flavor and thickness of bacon the way it was in the ""good old days.""  Arrives nice and cool in an ice pack - cheaper if you buy the 12-pack."
476627,B006ZOUI2U,AJ0KRJ4P63F49,"Karen C. Otis ""Karen KC Otis""",0,0,5,1337904000,cotton candy sugar,This stuff is great and works very well in my cheap cotton candy machine.  The most important thing is that the grand kids are happy
83548,B005ZBZLT4,A2CFQ45ERFJ59B,Peter,1,2,5,1342051200,Good cup of coffee,I really like the idea of the large filter on the bottom.  I hate when one of my K-cups would not work correctly and leak everywhere but this design prevents that. The coffee tastes great with no bitter after taste. I will be buying this again!
235626,B003CK0XC0,A9PNNAMSLJ0I8,Helenrose Dills,0,0,1,1336608000,Danger for anyone with HIGH Blood Pressure,"The Licorice spice tea is fragrant and delicious.<br />I was given some to try, and was so excited about this tea. I added it to my amazon.com<br />subscriptions. Several days later I mentioned this tea to my Doctor. He gave me a<br />strict warning against ANY kind od black Licorice.<br />This tea and all black licorice products need clearly posted warnings.<br />Not for consumption by anyone with high Blood pressure, or on blood pressure medicines.<br />The package had not yet arrived, I contacted amazon for return instructions and was told it is not return or refundable!  Very unhappy  :(<br />Stash Premium Licorice Spice Herbal Tea, Tea Bags, 20-Count Boxes (Pack of 6)"
481924,B000JZHDWE,A2B7MAUBH5W40Z,"Keisha Higgins ""Keisha Higgins""",9,11,5,1295654400,Yummm,"I have been unable to get the right cadbury, because the American version is not as delicious. I finally found this online and it is amazing!!!"
347322,B002PNWU5I,A35T91UMGDNUCB,"K. Chinalski ""Ladiesofthehouse""",6,6,5,1301616000,Excellent fondant!,I was pleasantly surprised at how easy this fondant was to work with and it tasted very good. I will be buying this again when I need black or red fondant.
555553,B008BLFHLM,AA8JH8LD2H4P9,Claudia J. Frier,0,0,5,1349568000,omg what a deal!!!!!!!!!!!!!!,"I paid less than $9 for these on here because they are such a great deal, but more importantly, my 14 yr old picky eater son loves these!! We are down to 1 1/2 boxes so I will be buying more soon. Even with 2 for 1's in stores this is the better deal."
420468,B008JKSJJ2,A287D5XE55CSY4,AshokLA,0,0,5,1329264000,Tasty!,"I generally dislike most ""healthy"" bars mainly because they don't taste particularly good.  Like bars are different, they are truly tasty! Well at least the cranberry almond and the almond cashew with flax bars I have tried are amazing.  I am more than happy to snack on them rather than a chocolate bar or other snack, they are that good!"
476700,B0039KERRK,AZHF1NXQRBIAQ,"Gloria ""Gloria""",7,9,1,1329350400,Taste,"When I ordered, I did not realized this item was seasoned. It is & I don't like the taste. I wanted PLAIN organic mashed potatoes. I got 6 boxes of these. Be careful what you order in grocery."
22920,B004ZIER34,A7Y9MP7H8LYUE,"K. E. Steelman ""mommarock""",0,0,3,1319673600,Still Needs Work,"Okay, I'll admit it.... I am a coffee snob.  I have loved coffee since I was old enough to steal a sip from my parents' cup at the breakfast table... and that was too many years ago for me to tell you here.  That said, I will tell you that this coffee is weak and lacks flavor, no matter how strongly it is brewed.  I tried several pots and was not satisfied with even one of them.  I love a dark roasted, full flavored coffee and have tried many French Roasts, which this is 'supposed' to be.  It was dull and flatter than any generic decaf and truly unappealing to me.  I would rather have one cup of 'good' coffee than pots of mediocre brew.<br /><br />This is a coffee that left me feeling as if I had drank a coffee substitute and not even a good one at that.  If you are looking for low acid coffee, try a good Ethiopian or one of the many naturally less acidic coffees out there and pass this one by.  It left me totally lacking in coffee satisfaction.  The aroma was wonderful in the pot, but the taste was of the 'brown water' variety.  It needs work in my opinion."
1979,B005HGAVGA,A19CW95YI96OF4,Dawn Marx,0,0,2,1328486400,ddjj,I too was a little disappointed with the mix of the Donut Sampler. In my case I had 12 of the 35 were decaf.  But I guess this is what you get when you purchase a sampler pack through the Amazon warehouse deals section.  All the k-cups had a best used by date of 6/2012.  I was happy about that atleast.
423249,B0087N7LWW,AGDP5EFDS1RNJ,Honey,0,0,5,1344902400,Great taste!,This adds something special to a regular burger and fries.  My husband loves spicy foods and he loves the kick that this gives him.
48699,B0001CXRLQ,ASYUBYR0V54I7,Maté Afficionado,5,7,1,1254355200,Stop! Don't buy it!,"If you are a traditional Yerba mat&eacute; afficionado that uses a bombilla (filtered straw), this stuff is completely undrinkable. The mat&eacute; has been pulverized rather than cut and subsequently blocks the filter and clogs the bombilla. This creates two problems: First, you get precious little tea passing through and secondly, you must spend a good deal of time cleaning the bombilla out before it will be an efficient filter again.<br /><br />Incidentally, unbiased research shows that drinking the loose tea with a bombilla delivers much higher levels of polyphenol antioxidants, vitamins and minerals.<br /><br />Lastly, I have been drinking Yerba mat&eacute; for 22 years and there are plenty of other brands that have better flavor."
328615,B000XEAWLA,A2IUBJJBH9PF9R,J. Raney,0,0,3,1214265600,Good but not for small dogs,"Dingo products are great, my dogs love them, but these are not for small dogs, too large and cumbersome for my two Shih Tzus.."
177108,B004FEJ968,AXR3CV6A4FMBG,"McBean ""BJMcBean""",0,0,4,1304985600,Mild and Understated,"There's nothing wrong with being ""mild and understated."" None of the tastes in this treat jump out at you but, instead, they're a good blend of several flavors and textures. My first impression was that I needed to get me a glass of milk since they're a tad dry, but not terribly so. I was expecting a cookie and these really aren't. They aren't as sweet as a cookie and that was a crowd-pleaser among my friends. They're a terrific, light snack, with an interesting taste."
479059,B001E5E074,A1ZE2PQ8F1WQ2D,KP,0,1,5,1316476800,Delicious,"In an attempt to start eating healthier, I switched my morning cereal to Kashi GOLEAN.  This cereal is a treat to eat, even when switching from sugary cereals.  I definitely recommend it as one of Kashi's better cereals."
44255,B005HUVJYO,A1DOYVR4J738J5,Antithesis,0,0,5,1347062400,"Super tasty, fast, easy, low calorie.","This is my new favorite lunch. Imagine my surprise when I opened the package to see a brown brick looking back at me. Pour water over it and suddenly it's a DELICIOUS miso soup. I do mean delicious. It has tofu, seaweed, green onions, and fried tofu. It tastes great and fills me up on the go."
372295,B000F3Q53I,A16R34T5NM2YKP,Gloria S,0,10,2,1299542400,Bad Service on Amazon,"I have just received notice of shipment of this item. I was purchased on the 1st of March. It took 11 days to ship!!!!!!!!!! This is the second time that I have ordered something on Amazon that did not ship for a long time after it had been ordered. This is awful, and I don't think I plan on ordering anything from Amazon in the future! They also never tell you when something is backordered till a few days after you order. This is unacceptable!!!<br /><br />Gloria Souyias"
457838,B001CHJ01A,A7EJERNB7IK3Z,CQ DX,0,0,5,1288483200,Truly excellent coffee!  One of the better K-cup brands/flavors!,"Gloria Jean's Butter Toffee is one of the better tasting K-cup offerings. The coffee tastes very smooth, with just the right amount of flavoring. More importantly, the butter toffee flavoring is not overpowering, and does taste as it should (accurate notes). This is a quality, well balanced coffee."
512215,B000MAK3UA,A3E6CNP7AYCO6L,J. Haddad,0,0,4,1231632000,Great snack,"This is a great snack, love the built in portion control. Be careful when cooking though, it's easy to burn!"
207025,B002ANA68G,A3LY5F58098WPR,"Audrey J. Orek ""ChevyF16""",7,8,5,1200873600,Excellent. Product HAS NOT changed.,"I have been a Canidae (PAWS) customer since Feb 07 (7 lg dogs). I previously fed them Purina One, switched to Blue Buffalo in Dec 06, then Canidae in Feb 07 (food scare for Blue Buffalo). I am very particular about what I give my dogs: dog of 10yrs died/cancer and had 2 knee replacements due to arthritis/joint issues. My Dogs are doing great on Canidae. I just spoke w/ Canidae less than 2 mins ago and they HAVE NOT changed their product at all. I read the review from the person that once gave this product a great review and now thinks the product has changed due to her dogs' digestive issues (or something like that).  I left a msg for Canidae about 20 mins ago, and they already called me back at work to answer my questions (unlike Blue during the food scare).  If you have seen a blog concerning something about Acetaminophen being in Canidae, that is false. Some lady said she had Canidae and some other foods tested by putting them in a baggie together...blah blah, any way it was a false allegation but the internet spreads rumors like wildfire. I drive 2 hrs to re-stock on Canidae. Highly recommend."
89442,B0014WYXQK,AJCK6OKNWGIYG,Mike K,0,0,5,1295913600,Pretty good drink,"I buy IZZE when it's on sale on Amazon. This Pomegranate flavor is pretty good. If you're looking for pure Pomegranate juice this is not it - go buy that Pom Wonderful stuff. This is a pomegranate flavored sparkling juice - with different juices mixed together. It's not too sweet, kinda tart, and very refreshing. To me the taste is a cross between pomegranate and cranberry. It's 70% fruit juice and 30% water - that's it. No added ingredients that you can't pronounce, none of that corn syrup stuff that everyone is scared about and no added sugar. I really like it."
464286,B006W6YHRS,A1TY4AX8AVRAYQ,Downing,0,0,5,1344470400,greenies,This is great!!! first time my dog had greenies is when I bought a single. He is a picky eater and we were desprate to do something about his breath. He loved it and helped his breath. We buy big boxes of them now.
294294,B0085MLY5A,A335ZX9N3UWHX4,"C. Rhodes ""NewLadyinFl""",3,5,1,1313625600,DISGUSTING..WISH I COULD GIVE IT LESS THAN ONE STAR!!,I am open to almost anything but this stuff is the worse thing I have ever tasted!!!  It is nasty and I have yet to taste any fruit flavor...just plain gross...even tried adding a bit of Stevia and that did not help...really made it worse...Rihanna can have this!!!
308627,B000HRZZM4,A1QFE95O56G6CD,D. Bianchi,0,0,5,1340150400,Foods Alive Golden Flax Crackers,"I've been looking for ""live"" crackers for some time and found these on Amazon.  They are really good!  They have a different texture from regular crackers and I can feel the difference when I eat this live food as opposed to the deadness of regular processed crackers.  I highly recommend them!"
539565,B006WYSFZK,A6UFSCD6O8JMT,"qualquan ""qualquan""",1,4,4,1257033600,No salt Kettle chips.,They are good but wish they were also baked. Have not found baked no salt potato chips anywhere. If there are any I wish someone would post.
140135,B0029NIFXK,A31I3HXMD5H1EL,Benjamin J Burgraff,2,2,4,1258070400,"Not Cheap, but Worth It!","While I'll acknowledge that shipping catfood can be a pricey proposition, with three cats, and an upper-floor apartment, the convenience of home delivery makes it a desirable option...and Amazon's excellent reputation for on-time deliveries makes it a far more reliable choice than the other 'autoship' providers I've used.<br /><br />Whiskas Purrfectly Fish Tuna Entree has been a favorite of my babies for over two years (surprisingly, it's the only 'seafood' item they like), and when you find something they love, you stick with it! While all the grocery chains in my area only offer it in a multi-flavor box (forcing me to pay for food the cats WON'T touch), through Amazon (and other carriers), the Tuna Entree pouches can be ordered individually for shipment, which is another reason I accept the increased price, without complaint.<br /><br />So consider what your options are, and if the 'pros' outweigh the 'cons', I recommend Amazon as your choice!"
253749,B003C1RIEK,A39G12JD41N65D,Jeanne Lynn,2,2,3,1324857600,Not As Good as the Grove Square Hot Cocoa Kcups,"We didn't care for the taste of Cafe Escapes Hot Chocolate as much as the Grove Square brand. It had a slight artificial taste to it. It also left an aftertaste in my mouth. It is way more expensive than the other brand. We'll drink them, but I won't be buying this brand/flavor again."
399379,B0018CLWS8,A36J3H8L314Y5V,jenny spam,0,0,5,1323561600,My dog leave out other dry food and only choose to eat this one now,It feel much more moisted...my 2 yr Maltese leave out other food only eat this one now...As I do concern about the high fat content so I mix it with out dry food
483817,B003XDH6M6,A1GHZY5ZMRVN8Q,MB,0,0,3,1311638400,"My kids liked it, I didn't","I tried this product as did my children, who ended up devouring the entire bag. I had one piece and let me tell you, that was enough for me.  It was soft and chewy, which was good.  Unlike regular licorice that is hard, I really did like the fact that this was kind to your teeth.  The taste was ok, at first, but then it left a really bad after taste in my mouth.  It was just kind of weird.  I liked that this product was made with healthy ingredients, but I didn't like the yucky after taste.  Overall though, as far as my kids go, this is a healthier treat (as compared to pure candy with unwanted perservatives) that they actually like.  Because of that, I did appreciate this product more."
136698,B000CQ01NS,A2WHJVYPHPTRDA,mamahonsh,2,2,5,1277856000,Great Mac and Cheese!,"We put my son on a gluten free diet after he was diagnosed with autism. He has issues with texture of foods and eats very few foods because of this. Kraft mac-n-cheese used to be a favorite of his, but after going gluten free, we decided to try this substitute even though other gluten free pastas were terrible. To our surprise (with slight modification) HE LOVES THIS! I add slightly less milk and put a big scoop of butter in, also cook the noodles a little bit longer so they are tender. Honestly (and I am not gluten free), I like these better than ""the real thing""!"
80215,B000J2JKGO,A195LWAJK3G9DA,Donna,0,0,5,1327708800,Picky dog!,"Great product and quick shipping!<br />My dog really loves this food! She is allergic to wheat, of which this has none, and is a very picky eater but loves this food!"
426968,B0043U44MI,A18TNY5U1BPKU2,"Via B. ""Necromorph Hobag""",0,0,5,1327276800,My cats' favorite treat food!,"My cats LOOVE bonito fish flakes! I buy a giant bag for cheap at the Asian grocery store, and give them some every so often as a treat. I was pretty psyched to see a cat food with bonito in it! They go nuts when I crack open one of these cans and put it down for them. I know this flavor is special because one of my cats usually doesn't care about wet food, but even she gets excited for this one!"
532120,B005K4Q34S,ACKL9YS8B67QN,"Misty Kelm ""Movie Queen""",1,1,1,1349049600,Coffee was old and in a big clump,"This coffee arrived fast but when I went to shake the cup it was a big hard ball... they were all like that, I guess they are old and almost expired...This item is non returnable so I am just out the money. Don't buy from this seller."
122196,B001NCH1UQ,A13X9EB6J5CZAV,AFNapa,0,0,5,1323561600,Best Salami ever!,This is the best salami -- very unique!  The Parmesan cheese coating is delicious! Wish I could find this product closer to home.
57599,B005RGOXXC,A2SBUDD2J11832,T. Mena Jr.,0,0,5,1348531200,My favorite!,"This is the most flavorful salt you can imagine.  After you cook a nice thick steak and carve it, sprinkle a little of this salt on the cut side to make the meat pop in your mouth!!!  If you've never experimented with finishing salts, then this is a great starting point!"
305613,B0006M13XK,A3C9SLIWJRC5TI,Joanneva12a,0,0,5,1297468800,Great for Dogs with Allergies,"My dog is allergic to wheat and grain products. It would manifest as constant nasty ear inflamations. My vet prescribed a dog food that is only available from vets but after 3 months I saw no improvement.<br /><br />Finally I researched on my own and tried Wellness Simple Solutions and after 3 months I noticed that her ear problems subsided. I supplement her evening meals with the Wellness Simple Solutions dry food and she loves it.<br /><br />Compared with the stuff the vet prescribed, which looked like a waxy tube coming out of the can, the Wellness Simple Solutions canned dog food looks and smells like real food. It contains no wheat, corn, soy, dairy, or eggs and yet is high in nutrients.<br /><br />The first ingredient listed on the back of the can is duck and it states "" This is a naturally preserved product"". Considering that, I am very happy that the best by dates average about 2 years out because I keep extra dog food on hand in case of an emergency."
257079,B0001N48SG,AMW7MCK2E6SQS,"Ellen Cooper ""ellen14620""",6,6,5,1088553600,Jade Green Tea is the best I have tasted,"I recently bought a Melitta One:One expecting to love the coffee.  Instead I love this tea!  I have tasted many varieties of  green tea in my life.  By far, this is my favorite.  The hint of lemon is a perfect addition to the flavor and not overpowering."
160286,B0029JX6TM,A2WLS1TTUUGJYU,"jipsii M'Sina ""JMS""",0,5,1,1306713600,"OH, Come on AMZ!","<a href=""http://www.amazon.com/gp/product/B0029JX6TM"">DOLE PINEAPPLE JUICE 6 PK</a><br /><br />One can buy this EXACT same product in most grocery stores for about $5.00, so what justifies this kind of OUTRAGEOUS pricing, not to mention the out of line S&H?<br />Shame on AMZ!<br /><br />This is a wonderful product made to look bad by this practice.  I use this in my homemade ketchup or pineapple sorbet and YUMM!  But go to the local grocery and buy it at a MUCH MORE REASONABLE price."
142665,B001FA1KJO,A1L12GGW8UQYPU,Robert W. Marshall,7,7,5,1213401600,Love these,"I love these things, use them at work every day, so much easier than messing with a coffee maker for the office. Also use them when we travel, hotels never give you enough coffee bags in the rooms."
70428,B002E0S4UW,A1WU93A1QN1DFF,MommyMommyMommy,5,5,4,1306886400,Big hit in our house but not with Earth,"The kids LOVE these. 100% natural, no sugars added.<br /><br />Purchasing in bulk with the Subscribe&Save has helped us save money.<br /><br />Super convenient for travel or for parties- leaves very little mess.<br /><br />My biggest issue is the waste. I feel guilty for purchasing/promoting a product that leaves behind so much trash. We don't usually buy products individually packaged such as juice boxes, 100 calorie snack packs, etc.<br />But these are just so dang convenient. I apologize to Mother Earth.<br /><br /> Wish there was some way for the bags to be recycled or composted."
195983,B006N3I29E,A9SQOOZEDG4QT,Mary T Blanton,0,0,5,1350950400,Great wake-up taste.,"This blend is not bitter to wake you up, but a mild end that makes your mornings calm.  A delightful slow approach to a busy day.  No harsh jolts."
546248,B001LFEUCM,AN190XJGFK8CO,N. Thrash,7,7,5,1265241600,Feel good about eating it!,"Read the ingredients, this is not a HFCS/processed chocolate bar!  However if you like ""REAL"" food and are looking to have a slightly sweet snack that is completely good for you then this is it!  I gave up sugar a few months ago, and these bars have been wonderful, a way to satisfy my sweet tooth will all natural fruit-sugar sweetness...the main ingredient in ALL of them (Larabar & Jocalat) is dates, this one also has almonds and cocoa powder, do note that just because it has cocoa powder it does not mean it's sweet, this is unsweetened cocoa powder, the sweetness comes from the dates.  It's a snack you can feel good about eating.  Just make sure you are not expecting a sugary chocolate taste, or you will be disappointed! If you want a real, raw, good for your body, mind and soul snack then I highly recommend.  I also love the Apple Pie Larabar!"
123619,B000LSVJFQ,A451CS2E7KS46,Ben Thayer,0,0,4,1331078400,Small but powerful,These little mints are very small and simple.  Once you try one you get a rush of peppermint that quickly begins to fade after a few minutes.  They do their job nicely and are worth a try.
241757,B0081XPTBS,AU6DR825BYX6O,Shawn,0,1,1,1346630400,Damn. Who can I trust or use now?,Noticed the reviews about the change in formula. What bad practice...<br /><br />I did start noticing that my LO has been acting different and that mixing the formula kept leaving lumps. I'm guessing you can blame the added glucose syrups along with my S&S has been going up in price. From 82 to 97 dollars. I hate feeling taking advantage of just because I want the best for my LO. Shame on them for a shitty practice.<br /><br />BTW:<br /><br />Slighty same nutritional value as Walmart's Parent's Choice Organic Formula. Only difference I saw was a slightly higher calcium. I didn't go through the list one by one in ingredient but it is safe to say that they all come from the same manufacture. I will grab a can to find out.<br /><br />$62 dollars for a 4 pack compared to $97.
551838,B0000GHNVS,A18CSF2YTIVVJ0,A. Ward,1,1,5,1345852800,"Great sauce, but overpriced","I love this hot sauce, but get at walmart or woodmans for less than $2 for the 32oz bottle.  I don't know why they charge so much here."
265135,B000EVE3YE,A1JSL6MV2XX0HW,Mary,3,3,5,1245110400,Very nice gluten-free mix,"This mix makes nice chocolate chip muffins; they are a bit bland without the chocolate chips. I double the vanilla. For those customers with the browning issues: try lowering your oven rack, and baking a bit longer than recommended. With some experimentation, I now get nice golden brown muffins.<br /><br />These aren't super-easy for a mix - you need to add a fair number of ingredients. But they are tasty, and relatively simple to make. My kids like them a lot. They also freeze well."
480498,B002GWH9L8,A1KGOX62CNT41H,Stan R. Schierman,1,2,3,1324598400,Drinkable,"We really wanted to love this coffee, but really only found it OK. It has been a long time since we had anything like Folgers. I'm sure this is better than that but does not beat even COSTCO in our opinion."
180234,B00024YBX6,AUAFLFCN3RVFM,Kelly A. Melin,0,0,4,1247616000,Poker Chips,It did the job. The chips were realistic looking and were a big hit at the party.
351992,B000M0F58U,A1WAJOTHDPH97P,"Maria H. Magoun ""Rusalka""",0,0,5,1329091200,Fennel Seed Tea Bags,I do like herbal teas in general and this fennel seed tea has a very pleasant aroma and taste to it.
344033,B008J1HO4C,A3TAQELXZY9CRX,Leah Gustavson,0,0,5,1189468800,The Best oatmeal,"This Oatmeal McCann's Steel Cut Oatmeal, Traditional, 28-Ounce Tins (Pack of 4) is well worth the 30 minute cook time.  It is rich and nutty and makes for a great good carb breakfast that will stick with you better than your favorite bagel or muffin.  Try it ... once you do you'll never go back to the instant or quick cooking paste that tries to pass for oatmeal."
